,Dataframe,Model,Best Params,Best PCA Components,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test
0,df_mean,LinearRegression,{'pca__n_components': 7},7,0.9863942230809951,0.9893828401764017,1.0419131071641436,0.7925707820840199,0.40931455043780546,0.4021309056274958
1,df_mean,Ridge,"{'pca__n_components': 7, 'regressor__alpha': 0.1}",7,0.986394222926014,0.9893827673896028,1.0419131190323982,0.7925762156171945,0.4093540080845142,0.40217082696226797
2,df_mean,Lasso,"{'pca__n_components': 7, 'regressor__alpha': 0.01}",7,0.9863443823979519,0.9892791668878074,1.0457298433374527,0.8003099911368815,0.43251181922529874,0.4255089916055803
3,df_mean,DecisionTree,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 2}",7,0.9959351350760347,0.9897161752191715,0.31128219052418216,0.7676873273811075,0.25516360846087516,0.5379528965688636
4,df_mean,RandomForest,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",7,0.9986431514821273,0.9916102016514601,0.10390573530814351,0.6262982896659338,0.1734526734702413,0.4417251012220678
5,df_mean,AdaBoost,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 100}",7,0.8872731940233246,0.8829342738183383,8.632475556157914,8.738954268052824,2.1689703105753977,2.190506634803246
6,df_mean,GradientBoosting,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",7,0.9954922384880533,0.9924530145890418,0.34519864842902165,0.5633823196524754,0.4056848902418478,0.4322946144558511
7,df_mean,KNN,"{'pca__n_components': 7, 'regressor__metric': 'euclidean', 'regressor__n_neighbors': 5, 'regressor__weights': 'distance'}",7,0.9999036256131447,0.9711185207719002,0.007380228079379947,2.156001883731694,0.015131572811940167,1.0187124428841678
8,df_median,LinearRegression,{'pca__n_components': 7},7,0.9863688257973934,0.9893601633574419,1.0438579988692298,0.7942636061948707,0.4085392861449956,0.4012428772307419
9,df_median,Ridge,"{'pca__n_components': 7, 'regressor__alpha': 0.1}",7,0.9863688256445378,0.9893600913585848,1.0438580105747157,0.7942689809082074,0.4085785168449785,0.40128238777356
10,df_median,Lasso,"{'pca__n_components': 7, 'regressor__alpha': 0.01}",7,0.9863197852011732,0.989258104232857,1.047613465410323,0.8018823179346398,0.43158397796890025,0.42439870519082046
11,df_median,DecisionTree,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10}",7,0.9957329700484678,0.9904315264861168,0.3267637314377253,0.7142863686946405,0.27032931042118274,0.5142866453567073
12,df_median,RandomForest,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",7,0.998660478824496,0.9917827777311495,0.10257882944795386,0.6134154885476473,0.17508178651581163,0.4372551869862911
13,df_median,AdaBoost,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 100}",7,0.8886224199856335,0.8846383969261148,8.529153546468613,8.611741509957588,2.1500020299387574,2.16496381888811
14,df_median,GradientBoosting,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",7,0.99493231281902,0.9930020364107399,0.3880770446482546,0.5223978509401028,0.40666410664819813,0.42697452900882876
15,df_median,KNN,"{'pca__n_components': 7, 'regressor__metric': 'euclidean', 'regressor__n_neighbors': 5, 'regressor__weights': 'distance'}",7,0.9998558168485229,0.972939655764339,0.011041362522007084,2.0200541906368197,0.021995922072530733,0.9703880310537291
16,df_knn,LinearRegression,{'pca__n_components': 7},7,0.9863881234535161,0.9893809563060213,1.0423802088854905,0.7927114129726514,0.4091324212309326,0.40159491939900127
17,df_knn,Ridge,"{'pca__n_components': 7, 'regressor__alpha': 0.1}",7,0.9863881232993496,0.989380884294669,1.0423802206913753,0.7927167886187556,0.40917176728152876,0.40163459146647357
18,df_knn,Lasso,"{'pca__n_components': 7, 'regressor__alpha': 0.01}",7,0.9863385594022207,0.9892786405808034,1.0461757609510753,0.800349279944876,0.4322713629200375,0.42487545357310963
19,df_knn,DecisionTree,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10}",7,0.9957170096347652,0.9897542000078894,0.3279859596376707,0.7648487776151272,0.26387577856288125,0.519344906330224
20,df_knn,RandomForest,"{'pca__n_components': 7, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",7,0.998647281483011,0.991638061464913,0.1035894650885997,0.6242185551132006,0.1721065035293764,0.4381591464636001
21,df_knn,AdaBoost,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 100}",7,0.888370435240635,0.8841724464269042,8.548450218035578,8.646524706001312,2.146294200648932,2.1636294862654304
22,df_knn,GradientBoosting,"{'pca__n_components': 7, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100, 'regressor__subsample': 0.8}",7,0.9957670661293377,0.9926249658017179,0.3241526968916819,0.5505461648450387,0.3983196531921386,0.4236164974118991
23,df_knn,KNN,"{'pca__n_components': 7, 'regressor__metric': 'euclidean', 'regressor__n_neighbors': 5, 'regressor__weights': 'distance'}",7,0.9999036256131447,0.9716639798489427,0.007380228079379947,2.115283373841183,0.015131572811940167,1.0086758733563896
